mode,repeat,threads,read_pct,kind,count,total_ops_per_sec,p50_us,p95_us,p99_us,wait_p50_us,wait_p95_us,wait_p99_us
direct,1,1,100,read,5000,40553,15.667,104.708,172.667,0.000,0.000,0.000
engine,1,1,100,read,5000,40765,15.708,97.709,166.083,0.042,0.042,0.042
engine,1,8,100,read,5000,69541,35.709,506.709,933.459,0.042,0.084,0.208
engine,1,16,100,read,5000,63728,57.583,1052.542,1772.750,0.042,0.125,0.209
direct,1,1,90,read,4500,2467,30.584,144.667,210.875,0.000,0.000,0.000
direct,1,1,90,write,500,2467,3714.042,4756.292,6732.541,0.000,0.000,0.000
engine,1,1,90,read,4500,2392,36.083,183.041,277.792,0.042,0.084,0.084
engine,1,1,90,write,500,2392,3712.459,4718.834,6594.959,0.083,0.125,0.125
engine,1,8,90,read,4500,2394,90.250,13036.667,20537.042,0.083,12894.500,20468.709
engine,1,8,90,write,500,2394,4035.875,21001.584,36018.875,61.333,16500.209,32907.917
engine,1,16,90,read,4500,2468,821.917,22237.208,34745.458,17.500,22009.625,34671.959
engine,1,16,90,write,500,2468,5947.542,41949.417,66995.500,1111.416,38325.750,62873.500
direct,2,1,100,read,5000,40478,15.667,102.750,173.500,0.000,0.000,0.000
engine,2,1,100,read,5000,40263,15.875,102.417,177.500,0.042,0.042,0.042
engine,2,8,100,read,5000,69239,46.416,452.125,870.250,0.042,0.125,0.208
engine,2,16,100,read,5000,65975,55.250,1023.500,1455.334,0.042,0.125,0.209
direct,2,1,90,read,4500,2389,35.458,154.417,257.917,0.000,0.000,0.000
direct,2,1,90,write,500,2389,3732.125,4735.000,6183.292,0.000,0.000,0.000
engine,2,1,90,read,4500,2328,24.958,147.625,373.667,0.042,0.084,0.084
engine,2,1,90,write,500,2328,3829.292,4873.792,7020.042,0.042,0.084,0.125
engine,2,8,90,read,4500,2472,150.625,13313.666,20909.375,0.083,13034.167,20840.833
engine,2,8,90,write,500,2472,3987.167,17160.459,38651.250,70.542,13076.375,26257.834
engine,2,16,90,read,4500,2597,532.958,20567.459,31985.291,7.584,20144.125,31864.583
engine,2,16,90,write,500,2597,4518.084,36965.792,61747.917,342.583,33261.042,58021.292
direct,3,1,100,read,5000,38198,16.000,122.500,192.125,0.000,0.000,0.000
engine,3,1,100,read,5000,40806,15.709,83.208,172.750,0.042,0.042,0.042
engine,3,8,100,read,5000,66935,53.625,493.708,979.958,0.042,0.125,0.209
engine,3,16,100,read,5000,70886,55.500,936.208,1525.542,0.042,0.125,0.209
direct,3,1,90,read,4500,2465,31.583,144.083,269.500,0.000,0.000,0.000
direct,3,1,90,write,500,2465,3696.583,4733.708,5936.584,0.000,0.000,0.000
engine,3,1,90,read,4500,2396,21.375,151.375,378.708,0.042,0.083,0.084
engine,3,1,90,write,500,2396,3766.416,4995.833,6628.500,0.042,0.084,0.125
engine,3,8,90,read,4500,2465,118.041,12591.000,20727.791,0.084,12451.375,20339.459
engine,3,8,90,write,500,2465,3997.750,21601.041,38058.916,97.959,18479.458,34128.875
engine,3,16,90,read,4500,2602,321.958,21014.000,35503.792,0.209,20905.750,35430.917
engine,3,16,90,write,500,2602,4968.625,36975.750,47844.083,790.459,33868.667,44939.166
